title,number,duration,description,id,published
פרק #775 - מאיה אשכנזי אוטמזגין וחלבונים,781,01:18:07,"מאיה אשכנזי אוטמזגין נולדה וגדלה בקרית אתא, אחת מחמש אחיות.  את התואר הראשון עשתה בהנדסה פרמצבטית. לאחר הלימודים התגייסה למחלקה לזיהוי פלילי במשטרת ישראל, היכן שסייעה מאוד בחקירת חטיפת שלושת הנערים. לאחר תואר שני בהנדסת ביו-רפואית בטכניון הקימה את חברת MaoLac, שמתמחה בייצור חלבונים שדומים מספיק לאלה שנמצאים בחלב אם.

 

על מה דיברנו:
חלבונים, ספורט, חלב אם, נחיתות בארצות הברית, מז״פ, משטרת ישראל, יזמות, פריפריה

 

נותני החסות שלנו:
הפרק בחסות חברת Cato Networks
הפרק של גור שץ בגיקונומי
הפרק עם עידן מקייטו נטוורקס",geekonomy.podbean.com/a5d0d8e4-6e68-3808-aba7-00c94a2d53d4,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=10, tm_hour=18, tm_min=29, tm_sec=4, tm_wday=6, tm_yday=253, tm_isdst=0)"
פרק #774 - יריב חסר ופאגאיה,780,01:12:45,"יריב חסר הוא מנהל הפעילות בישראל של חברת פאגאיה, שנסחרת בנסדא""ק כיום לפי שווי של כשישה מיליארד שקלים.  פאגאיה מתמחה בהערכת סיכון בשוק האשראי האמריקאי.

 

על מה דיברנו:
אשראי, ארצות הברית, פאגאיה, פיטורים, הקפאת האפשרות למשוך כסף מקרנות, סיכון, אלגוריתמיקה, הבורסה בארצות הברית

 

נותני החסות שלנו לפרק:
חברת ServiceNow

 

לינקים מהפרק:
הספר עליו יריב המליץ",geekonomy.podbean.com/c3ecc9c3-339a-35e8-b8d1-8776b4ded729,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=8, tm_hour=7, tm_min=10, tm_sec=55, tm_wday=4, tm_yday=251, tm_isdst=0)"
פרק #773 - המילים האהובות על רוביק רוזנטל,779,01:56:17,"רוביק רוזנטל הוא בלשן, סופר, בלוגר, כותב ״הזירה הלשונית״, מרצה ומילונאי, חתן פרס סוקולוב לשנת 2004. הוא אחד היוצרים והמתעדים הגדולים ביותר של השפה העברית ב-30 השנים האחרונות, ולא נראה שהוא מתכנן להפסיק בקרוב.
 
על מה דיברנו:
 
תל אביב, קיבוץ, ייקים, ביאליק, בן יהודה, האקדמיה ללשון העברית, שפות שמיות, שורשים, תנ״ך, גמרא ומשנה, ישראלית, ס. יזהר ועוד המון דברים
 
הישארו אחרי אות הסיום לחפירה השבועית שלי
 
קישורים והמלצות:

רוביק רוזנטל - בפייסבוק, ביוטיובהבלוג ״הזירה הלשונית״ של רוביק רוזנטלהספרים של רוביק רוזנטל באתר ״עברית״
 
הרשמה ב-iTunes הרשמו ל-RSS שלנו",geekonomy.podbean.com/33cb49d6-ee19-341a-8a59-b2d49ea5537b,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=6, tm_hour=4, tm_min=10, tm_sec=40, tm_wday=2, tm_yday=249, tm_isdst=0)"
פרק #772 - אסף זמיר חוזר לתל-אביב,778,01:30:22,"אסף זמיר הוא פוליטיקאי ישראלי אשר כיהן כקונסול ישראל בניו-יורק, כחבר כנסת מטעם מפלגת חוסן לישראל בסיעת כחול לבן וכשר התיירות. היה ממייסדי סיעת ״רוב העיר״ במועצת העיר תל-אביב ובמשך כעשר שנים כיהן כסגנו של רון חולדאי. לאחרונה הודיע על ריצה משותפת עם חולדאי כסגנו בבחירות הקרובות לראשות העירייה.

 

על מה דיברנו:
ניו-יורק, קופנהגן, תל-אביב, פוליטיקה, רון חולדאי, אורנה ברביבאי, בלומפילד, מערכת החינוך, קורקינטים, דרום מזרח העיר, עירוניות, כלי רכב, הולכי רגל, ליברליות

 

נותני החסות לפרק:
האתר של Fair
חברת 2sit שבה תקבלו 25% הנחה על הכסא הראשון שתקנו אם תגידו שהגעתם דרך גיקונומי",geekonomy.podbean.com/9382391e-9149-3f4f-b5cb-86a851584323,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=4, tm_hour=16, tm_min=38, tm_sec=34, tm_wday=0, tm_yday=247, tm_isdst=0)"
פרק #771 - ד״ר גליה ברקאי מטפלת מרחוק,777,01:14:18,"ד״ר גליה ברקאי מובילה את ביונד, זרוע הטיפול מרחוק של בית החולים שיבא. מדובר באחד מבתי החולים הוירטואליים המובילים בעולם, שמאז הקורונה מנסה לעשות מהפכה ברפואה מהבית במדינת ישראל.

 

על מה דיברנו:
רפואה מרחוק, טלה רפואה, עומס, תמריצים כספיים, בית החולים שיבא, הקורונה, אמון, טיפולים שאפשר לעשות בבית, קופות החולים, משרד הבריאות

 

נותני החסות שלנו:
חפשו בגוגל R&amp;D משכנתאות וגיקונומי
לינק לפודקאסט החדש ״שיחת מסדרון״",geekonomy.podbean.com/e89b4a0f-28f6-3fb6-808f-3ef57993c7c8,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=1, tm_hour=15, tm_min=8, tm_sec=32, tm_wday=4, tm_yday=244, tm_isdst=0)"
פרק #770 - משה רדמן אבוטבול והשלוחים,776,02:03:25,"משה רדמן אבוטבול היה יזם וסטארטאפיסט, שהחליט בעקבות הצהרת לוין (על הרפורמה המשפטית) לסגור את החברה שהקים ולהתגייס למאבק נגדה. מאז ועד היום הוא מבלה את ימיו ביצירת סרטוני הסברה והובלת מאמצי המחאה הציבורית.
 
על מה דיברנו:
 
נתניהו, לוין, ברקת, לפיד, גנץ, שיקמה ברסלר, רן הרנבו, מרוקאים בבית המשפט העליון, לוד, ספרי עיון, בגרות עצמאית, טיקטוק, פוליטיקה מוניציפלית, ערוץ 14 ועוד המון דברים.
 
הישארו אחרי אות הסיום לחפירה השבועית שלי
 
קישורים והמלצות:

משה רדמן אבוטבול -בטוויטר, בפייסבוק, בטיקטוק
 
הרשמה ב-iTunes הרשמו ל-RSS שלנו",geekonomy.podbean.com/5187a822-73c9-3d3d-8586-d0c95b1bba9b,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=29, tm_hour=4, tm_min=30, tm_sec=34, tm_wday=1, tm_yday=241, tm_isdst=0)"
פרק #769 - הפלפל של יהלומה לוי,775,01:31:03,"יהלומה לוי עזבה בגיל 40 את תפקידה כמנכ""לית רדיו תל אביב וחליטה להתמסר לאהבתה - בישול ומסעדנות. מאז הקימה מספר מסעדות מוערכות וכיום גם מובילה מהפך קולינרי ותדמיתי כולל בקבוצת לנדוור.

 

על מה דיברנו:
גילי בן שחר, אסף אביר, פלפל שחור, משק חביבאן, אוהד רוט, לקטות, בטטות, פריז, קופנהגן, חוף הכרמל, בננות, שוק לוינסקי, מצרכים טריים, קפה לנדוור, בנק לאומי, בנק מזרחי, הקורונה

 

נותני החסות שלנו:
חברת Better שתסייע לכם לחסוך כסף
ביטוח תכולת דירה הפניקס סמארט

 

לינקים מהפרק:
פודשופ
הספר של אסף אביר
הפרק עם אהוד סוריאנו ושמן זית",geekonomy.podbean.com/996d45ae-8be4-3d10-83ee-0baeba8c170f,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=26, tm_hour=22, tm_min=5, tm_sec=55, tm_wday=5, tm_yday=238, tm_isdst=0)"
פרק #768 - דותן אסלמן מייעל ניתוחים,774,01:06:39,"דותן אסלמן הוא אחד המייסדים של חברת תיאטור, שמנסה לסייע למנתחים ברחבי העולם לייעל את תהליכי העבודה שלהם. 

 

על מה דיברנו:
מידע, ניתוחים, כירורגים, אמנות, מדע, למידת מכונה, פרוצדורות שצריכות להשתפר, בתי חולים בארצות הברית, תמריצים כלכליים

 

נותני החסות שלנו:
הפרק בחסות חברת Cato Networks
הפרק של גור שץ בגיקונומי
הפרק עם עידן מקייטו נטוורקס

 

לינקים מהפרק:
הספר עליו דותן דיבר",geekonomy.podbean.com/d920561c-3fc0-3cf1-97c9-2d43d6ac3f72,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=24, tm_hour=22, tm_min=25, tm_sec=37, tm_wday=3, tm_yday=236, tm_isdst=0)"
"פרק #767 - שאנן סטריט, גיבור תרבות ישראלי",773,01:34:09,"שאנן סטריט הוא מוסיקאי וסולן להקת ״הדג נחש״ כבר 27 שנים. הוא גם סופר, כותב טורים, בעל 3 בארים לשעבר, פודקסטר ואושיית תרבות ישראלית. הוא גם ירושלמי מושבע שחושב שהפתרון לבעיות של מדינת ישראל יתחיל בירושלים.
 
על מה דיברנו:
 
ראפ ישראלי, רוק ישראלי, אלכוהול, שירה, מילים וזרימה, שלום עם ערבים, טיפול פסיכולוגי, שירת הסטיקר, יוסי פיין, הדג נחש, הכל לטובה, חליפות, פוליטיקאים, קהל, כסף, פול מקרטני ועוד המון דברים
 
קישורים והמלצות:

שאנן סטריט - ביוטיוב, בפייסבוקהסינגל החדש של הדג נחשהפודקאסט - Dream A Dreamשאנן סטריט - האתר הרשמירגע נצח - הספר הראשון של שאנןהאלבום - הכל לטובה
 
הרשמה ב-iTunes הרשמו ל-RSS שלנו",geekonomy.podbean.com/cfb44a91-3551-313c-bb58-5ed3e28b981a,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=22, tm_hour=3, tm_min=20, tm_sec=48, tm_wday=1, tm_yday=234, tm_isdst=0)"
פרק #766 - חברת הכנסת נעמה לזימי,772,02:04:21,"נעמה לזימי נולדה וגדלה במגדל העמק. נעמה הייתה קצינה בצה״ל ובעלת תואר ראשון במדעי המדינה ותואר שני בהיסטוריה של עם ישראל מאונ׳ חיפה. את הפעילות הפוליטית שלה החלה בתקופה הזו ואחרי יותר מעשור כפעילה במפלגת העבודה הפכה לנבחרת ציבור, כשהיא מכהנת כיום כחברת כנסת מטע המפלגה, יושבת-ראש הועדה המיוחדת לענייני צעירים וחברת ועדת הכספים. 

 

על מה דיברנו:
איזון בית-משפחה, העיר חיפה, פריבילגיות, כלכלה, חרדים, צבא, יריב לוין, כנסת ישראל, תפקוד הועדות השונות, שילוב צעירים, מחשבה על צעירים, מערכת החינוך, משכורות, מסים, סוציאליזם

 

נותני החסות של הפרק:
חברת Really Good שתסייע לכם עם פיתוח פרונטאנד
ביטוח חובה לרכב הפניקס סמארט",geekonomy.podbean.com/f71c2885-d220-3390-90db-140c1e882b7d,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=20, tm_hour=19, tm_min=26, tm_sec=9, tm_wday=6, tm_yday=232, tm_isdst=0)"
פרק #765 - ניר צדוק סקנד דאון,771,01:19:10,"ניר צדוק התאהב במילה הכתובה בזכות ספרות רוסית בתקופת הצבא. לאחר שסיים לקרוא עשרות ספרים בזמן קצר, החליט להפוך לעיתונאי. ומה הכי קרוב לספרות רוסית יפה? כדורגל ישראלי. על פוטבול אמריקאי צדוק התחיל לכתוב לאחר מכן. בתחילה במסגרת עבודתו בעיתון ״הארץ״ ובשנה האחרונה במסגרת הבלוג בתשלום החדש שהקים. לאחרונה צדוק עבר ל-״ידיעות אחרונות״ ומקליט בצורה קבועה בארבעה פודקאסטים שונים שעוסקים בספורט וריאליטי.

 

על מה דיברנו:
פוטבול אמריקאי, כדורגל ישראלי, יוני נמרודי, הפודיום, ציון3, פרנסה, סטרימאלמנטס, ניהול זמן, רגשות אשם, משפחה, טיסות, טיולים, ספורט, תרבות, הפועל תל-אביב, הפועל באר שבע, פטריק מהומס, קירק קאזינס, נטפליקס

 

נותני החסות שלנו:
חברת Better שתסייע לכם לחסוך כסף
לינק לפודקאסט החדש ״שיחת מסדרון״

 

לינקים מהפרק:
הבלוג של ניר
הפוד של ניר
הסדרה עליה דיברנו בנטפליקס
הסרט עליו דיברנו בנטפליקס",geekonomy.podbean.com/12d36e4f-1ca2-36ba-9698-722bf57c1588,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=17, tm_hour=19, tm_min=46, tm_sec=4, tm_wday=3, tm_yday=229, tm_isdst=0)"
"פרק #764 - ד״ר אורי כץ, סופר מדע בדיוני",770,01:46:04,"ד״ר אורי כץ הוא כלכלן, חוקר, בלוגר (״דעת מיעוט״), פודקאסטר (״הרס יצירתי״), סופר (״כסף כחול לבן״) ואורח ותיק ואהוב בגיקונומי. ממש השבוע הוא פצח בקמפיין מימון המונים לטרילוגיית מדע בדיוני שכתיבתה נמשכה למעלה מעשור. באופן לא מפתיע, הקמפיין הגיע ל-100% מימון כבר ביממה הראשונה.
 
על מה דיברנו:
 
מדע בדיוני, כתיבה עיונית ופרוזה, המחאה החברתית, השכלה, מכון קהלת, שאול אמסטרדמסקי, ביבי נתניהו, ליברליזם כלכלי, דת ומדינה ועוד המון דברים
 
הישארו אחרי אות הסיום לחפירה השבועית שלי
 
קישורים והמלצות:

ד״ר אורי כץ -בטוויטר, בפייסבוקקמפיין מימון טרילוגיית ״האל המכאני״
 
הרשמה ב-iTunes הרשמו ל-RSS שלנו",geekonomy.podbean.com/7f5122e0-d931-324f-9185-afb7d647fb36,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=16, tm_hour=5, tm_min=24, tm_sec=32, tm_wday=2, tm_yday=228, tm_isdst=0)"
פרק #763 - עפר שלו מחמם סרטן,769,01:12:08,"עפר שלו ושותפו רמי חוף הקימו את חברת ניו פייז כדי לנסות ולהפוך את מחלת הסרטן לכרונית במקום לקטלנית. אחרי יותר מעשר שנים הם סוף כל סוף בשלב הניסויים בבני אדם והסימנים מעודדים.

 

על מה דיברנו:
מחלת הסרטן, הקמת חברה, משקיעים, ההשפעה של חום על תאים סרטניים, בתי חולים בארץ, בתי חולים בארצות הברית, רגולציה, לקיחת החברה לשלב הבא

 

נותני החסות שלנו:
חברת ReallyGood שתסייע לכם עם פיתוח פרונטאנד
הפודקאסט ״שיחת מסדרון״",geekonomy.podbean.com/79e8c973-2724-3569-b0be-639b3291a0a3,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=13, tm_hour=18, tm_min=25, tm_sec=25, tm_wday=6, tm_yday=225, tm_isdst=0)"
פרק #762 - רון נשר נותן מאה אחוז,768,01:48:22,"רון נשר הוא יוצר רשת, בדרן, חקיין, ראפר ואיש מוכשר שחי חיים דיי קיצוניים מבחינת מה שהוא אומר והריבים אליהם הוא נכנס. לסרטוני הוידאו שהוא משדר בשידור חי בטיקטוק ויוטיוב יש מאות אלפי צפיות ופרק בו התארח בפודקאסט של בן בן ברוך הגיע ליותר ממיליון.

 

על מה דיברנו:
האנ.בי.איי, נועה קיריל, סטטיק ובן אל, עמוס לוזון, האילומינטי, יהודה עדר, ג׳ימבו ג׳יי, רביד פלוטינק, טונה, ג׳ורדי, האח הגדול, אנרכיה, טיק טוק, האלגוריתם, יוטיוב

 

נותני החסות שלנו:
חברת Better שתסייע לכם לחסוך כסף
לינק להצעה המיוחדת לפלטפורמת לימוד האנגלית Cambly",geekonomy.podbean.com/39bb2ec3-840e-32d9-88b9-60fc23b5fec8,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=11, tm_hour=13, tm_min=45, tm_sec=57, tm_wday=4, tm_yday=223, tm_isdst=0)"
